iso3,IndicatorCode,Year,Value,IndicatorName
ABW,NY.GDP.PCAP.CD,2005,23302.8319880055,PIB per cápita (USD)
ABW,SP.POP.TOTL,2005,100031.0,Población total
AUS,NY.GDP.PCAP.CD,2005,33982.9504271591,PIB per cápita (USD)
AUS,SP.POP.TOTL,2005,20394800.0,Población total
AUT,NY.GDP.PCAP.CD,2005,38242.04251746991,PIB per cápita (USD)
AUT,SP.POP.TOTL,2005,8227829.0,Población total
AUT,GB.XPD.RSDV.GD.ZS,2005,2.38324,Gasto I+D (% PIB)
AUT,SP.POP.SCIE.RD.P6,2005,3457.20594,Investigadores por millón hab.
AZE,NY.GDP.PCAP.CD,2005,1578.3673303066698,PIB per cápita (USD)
AZE,SP.POP.TOTL,2005,8391850.0,Población total
AZE,GB.XPD.RSDV.GD.ZS,2005,0.21994,Gasto I+D (% PIB)
BHS,NY.GDP.PCAP.CD,2005,23405.879547932705,PIB per cápita (USD)
BHS,SP.POP.TOTL,2005,329243.0,Población total
BHR,NY.GDP.PCAP.CD,2005,18418.0726743768,PIB per cápita (USD)
BHR,SP.POP.TOTL,2005,867014.0,Población total
BGD,NY.GDP.PCAP.CD,2005,485.85288807347297,PIB per cápita (USD)
BGD,SP.POP.TOTL,2005,142929979.0,Población total
BRB,NY.GDP.PCAP.CD,2005,14223.7777039775,PIB per cápita (USD)
BRB,SP.POP.TOTL,2005,274013.0,Población total
BLR,NY.GDP.PCAP.CD,2005,3126.3677777946195,PIB per cápita (USD)
BLR,SP.POP.TOTL,2005,9663000.0,Población total
BLR,GB.XPD.RSDV.GD.ZS,2005,0.67852,Gasto I+D (% PIB)
BEL,NY.GDP.PCAP.CD,2005,36967.2829204297,PIB per cápita (USD)
BEL,SP.POP.TOTL,2005,10478617.0,Población total
BEL,GB.XPD.RSDV.GD.ZS,2005,1.7842,Gasto I+D (% PIB)
BEL,SP.POP.SCIE.RD.P6,2005,3138.40031,Investigadores por millón hab.
BLZ,NY.GDP.PCAP.CD,2005,3933.2343731798,PIB per cápita (USD)
BLZ,SP.POP.TOTL,2005,283279.0,Población total
BEN,NY.GDP.PCAP.CD,2005,587.080212422838,PIB per cápita (USD)
BEN,SP.POP.TOTL,2005,8182362.0,Población total
BMU,NY.GDP.PCAP.CD,2005,75882.0338560339,PIB per cápita (USD)
BMU,SP.POP.TOTL,2005,64154.0,Población total
BTN,NY.GDP.PCAP.CD,2005,1257.54864008661,PIB per cápita (USD)
BTN,SP.POP.TOTL,2005,651163.0,Población total
BOL,NY.GDP.PCAP.CD,2005,1046.4278428307,PIB per cápita (USD)
BOL,SP.POP.TOTL,2005,9125405.0,Población total
BIH,NY.GDP.PCAP.CD,2005,2844.43181234342,PIB per cápita (USD)
BIH,SP.POP.TOTL,2005,3833377.0,Población total
BIH,GB.XPD.RSDV.GD.ZS,2005,0.02776,Gasto I+D (% PIB)
BIH,SP.POP.SCIE.RD.P6,2005,65.95047,Investigadores por millón hab.
BWA,NY.GDP.PCAP.CD,2005,5327.8535176786,PIB per cápita (USD)
BWA,SP.POP.TOTL,2005,1864003.0,Población total
BWA,GB.XPD.RSDV.GD.ZS,2005,0.53286,Gasto I+D (% PIB)
BRA,NY.GDP.PCAP.CD,2005,4733.16418107253,PIB per cápita (USD)
BRA,SP.POP.TOTL,2005,188479240.0,Población total
BRA,GB.XPD.RSDV.GD.ZS,2005,1.00193,Gasto I+D (% PIB)
BRA,SP.POP.SCIE.RD.P6,2005,580.48833,Investigadores por millón hab.
